"csv_row","status","match_type","matched_address","coordinates"
"73","Match","Non_Exact","908 E CESAR CHAVEZ ST, AUSTIN, TX, 78702","-97.735384901884,30.260916608742"
"74","Match","Non_Exact","121 STONY CREEK DR, DEL VALLE, TX, 78617","-97.568023887033,30.134287724483"
"75","No_Match","","",""
"76","Match","Non_Exact","306 PAUL C BELL ST, BASTROP, TX, 78602","-97.317429229407,30.103180459117"
"77","Match","Non_Exact","115 DEPOT ST, ELGIN, TX, 78621","-97.370545730289,30.347466492539"
"78","Match","Non_Exact","301 LEE ST, SMITHVILLE, TX, 78957","-97.162544416886,30.00421724728"
"79","No_Match","","",""
"181","Tie","","",""
"182","No_Match","","",""
"183","Match","Non_Exact","1505 S MAIN ST, LOCKHART, TX, 78644","-97.669135421321,29.868402617615"
"184","Match","Non_Exact","633 S COLORADO ST, LOCKHART, TX, 78644","-97.669098176723,29.878666468974"
"186","Match","Non_Exact","205 W PECAN ST, LOCKHART, TX, 78644","-97.673908564308,29.88633478825"
"100","Match","Non_Exact","514 NECHES ST, LOCKHART, TX, 78644","-97.664999868413,29.881681754934"
"188","No_Match","","",""
"189","Tie","","",""
"102","Match","Non_Exact","851 S REYNOLDS ST, LA GRANGE, TX, 78945","-96.858775458568,29.906791409265"
"103","No_Match","","",""
"104","Tie","","",""
"106","Match","Non_Exact","516 N CAMP ST, SEGUIN, TX, 78155","-97.965954610215,29.572687519974"
"80","No_Match","","",""
"107","Match","Non_Exact","1620 S SEGUIN AVE, NEW BRAUNFELS, TX, 78130","-98.107564119179,29.684161416716"
"81","Match","Non_Exact","2160 FM 535, ROSANKY, TX, 78953","-97.301823521829,29.930006902639"
"82","Match","Non_Exact","205 W 2ND ST, ELGIN, TX, 78621","-97.372228722835,30.349053023549"
"109","Match","Non_Exact","190 N HARRIS ST, GIDDINGS, TX, 78942","-96.931915766252,30.182737783362"
"83","Match","Non_Exact","1202 WATER ST, BASTROP, TX, 78602","-97.31885102927,30.112783202352"
"84","No_Match","","",""
"85","Match","Non_Exact","225 LEXINGTON RD, ELGIN, TX, 78621","-97.371287664262,30.352576514168"
"87","Tie","","",""
