"230","806, Fayette St. Bastrop, TX, 78602","No_Match"
"153","443 Texas Highway 71, Bastrop, TX, 78602","Match","Non_Exact","443 STATE HWY 71 W, BASTROP, TX, 78602","-97.353902183688,30.110959370086","45485066","R","48","021","950302","1003"
"154","502 Farm Street, Bastrop, TX, 78602","Match","Exact","502 FARM ST, BASTROP, TX, 78602","-97.32158564417,30.112690260315","45466865","R","48","021","950401","1008"
"155","515 Old McDade Road, Elgin, TX, 78621","Match","Exact","515 OLD MCDADE RD, ELGIN, TX, 78621","-97.364473342414,30.346398841232","45473374","L","48","021","950201","1003"
"156","200-A Depot Street, Elgin, TX, 78621","Match","Non_Exact","200 DEPOT ST, ELGIN, TX, 78621","-97.371470653728,30.34729592992","45461202","L","48","021","950202","2046"
"157","165 W Austin Street, Giddings, TX, 78942","Match","Exact","165 W AUSTIN ST, GIDDINGS, TX, 78942","-96.937983391088,30.1830477827","39132855","R","48","287","000400","4071"
"158","15 American Legion Drive, Bastrop, TX, 78602","Match","Exact","15 AMERICAN LEGION DR, BASTROP, TX, 78602","-97.295496774407,30.107303488301","657933527","R","48","021","950401","2028"
"159","275 Jackson Street, Bastrop, TX, 78602","Match","Exact","275 JACKSON ST, BASTROP, TX, 78602","-97.307379588104,30.102406136824","657939597","L","48","021","950403","3003"
"50","6500 Metropolis Drive, Austin, TX, 78744","Match","Exact","6500 METROPOLIS DR, AUSTIN, TX, 78744","-97.710306976849,30.202104818821","637875613","R","48","453","002448","1022"
"51","1111 Montopolis Dr., Austin, TX, 78741","Match","Exact","1111 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.698347342631,30.23295051919","63949278","L","48","453","002321","1011"
"52","200 E. 8th St, Austin, TX, 78701","Match","Exact","200 E 8TH ST, AUSTIN, TX, 78701","-97.740696585361,30.269570081546","63946477","L","48","453","001101","1015"
"53","1300 Lavaca St., Austin, TX, ","Match","Exact","1300 LAVACA ST, AUSTIN, TX, 78701","-97.742633852007,30.275804893724","63943299","L","48","453","000700","1069"
"54","2203 San Antonio Street, Austin, TX, 78705","Match","Exact","2203 SAN ANTONIO ST, AUSTIN, TX, 78705","-97.742824975052,30.28516485659","63942722","R","48","453","000608","1005"
"55","2409 Guadalupe Street, Austin, TX, 78705","Match","Exact","2409 GUADALUPE ST, AUSTIN, TX, 78705","-97.741471735453,30.287850560574","63942712","R","48","453","000601","2009"
"56","2911 AW Grimes Blvd #203, Pflugerville, TX, 78660","Match","Non_Exact","2911 A W GRIMES BLVD, PFLUGERVILLE, TX, 78660","-97.643205088749,30.477624315033","640319370","L","48","453","046200","1013"
"57","818 East 53rd Street, Austin, TX, 78751","Match","Exact","818 E 53RD ST, AUSTIN, TX, 78751","-97.714780870706,30.313947457322","63932486","L","48","453","002105","2014"
"58","1015 Norwood Park Blvd., Austin, TX, 78753","Match","Exact","1015 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.692986090291,30.339170351618","64123786","R","48","453","040300","3021"
"59","5301 Ross Rd., Del Valle, TX, 78617","Match","Exact","5301 ROSS RD, DEL VALLE, TX, 78617","-97.61519984697,30.178219272974","646489385","L","48","453","002453","1005"
"160","711 W 10th St., Elgin, TX, 78621","Match","Exact","711 W 10TH ST, ELGIN, TX, 78621","-97.380360662554,30.34787521348","45460825","R","48","021","950202","2032"
"161","605 Old Austin Hwy, Bastrop, TX, 78602","Match","Exact","605 OLD AUSTIN HWY, BASTROP, TX, 78602","-97.337329024503,30.111053621098","649008497","R","48","021","950301","1016"
